Adjusted Gross Income Class,Number of Returns,,Federal AGI (Thousands),California Adjustments (Thousands),California AGI (Thousands),California Deductions (Thousands),Taxable Income (Thousands),Total Tax Liability (Thousands),Wages and Salaries,,Taxable Interest,,Taxable Dividends,,Taxable Pensions and Annuities,,Business Income,,,,Net Sale of Capital Assets,,,,Rents and Royalties,,,,Partnerships and S-Corp Gain,,Partnerships and S-Corp Loss,,Estates and Trusts Gain,,Estates and Trusts Loss,,Farm Income,,,,All Other Federal Income Sources Profit,,All Other Federal Income Sources Loss,,Total Income,,Individual Retirement Plan,,Student Loan Interest,,Tuition & Fees,,Moving Expense,,Half Self-Employment Tax,,Self-Employed Health Insurance,,Self-Employed Retirement Plan,,Penalty on Early Withdrawal of Savings,,Alimony Paid,,Domestic Production,,Total Adjustments,,Total California Subtractions,,Total California Additions,,Medical Expenses,,State and Local Income Taxes,,Real Estate Taxes,,Personal Property Taxes,,Other Taxes,,Total Taxes,,Mortgage Interest,,Points and Investment Interest,,Total Interest,,Cash/Check Contributions,,Non-Cash Contributions,,Contribution Carryover,,Total Contributions,,Casualty and Theft Losses,,All Other Deductions,,Total Federal Itemized Deductions,,California Adjusted to Fed Itemized Deductions,,California Itemized Deductions,,California Standard Deductions,,Personal Exemption Credit,Personal Exemption Credit,Dependent Exemption Credit,Dependent Exemption Credit,Senior/Blind Exemption Credit,Senior/Blind Exemption Credit,Total Exemption Credit,,Other State Tax Credit,,Total Special Credit,,Renter's Credit,,G-1 Tax/5870A Tax,,Alternative Minimum Tax,,Mental Health Tax,,Other Taxes,,Taxes Witheld,,Estimated Taxes Paid,,Excess State Disability Insurance (SDI),,Nonrefundable Child and Dependent Credit,,Overpayment,,Credit to Next Year's Tax,,Total Voluntary Contributions,,Refund,,Tax Due,
,,,,,,,,,,,,,,,,,Profit,,Loss,,Profit,,Loss,,Profit,,Loss,,,,,,,,,,Profit,,Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All,Taxable,,,,,,,Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands)
"6,000  to  6,999","198,775","48,795","1,352,322","-61,716","1,290,606","1,204,971","314,613","1,565","147,779","1,027,881","27,390","19,423","13,863","26,913","14,299","76,174","40,646","262,071","4,835","-32,561","8,302","38,151","5,961","-13,881","3,573","20,048","2,425","-57,754","1,414","13,300","1,592","20,850",111,446,11,122,111,534,167,"-10,492","26,492","155,776","4,433","106,488","198,664","1,398,783",334,"2,397","3,834","3,392","2,500","6,373",,,"40,705","18,852","2,613","8,958",,,778,948,111,793,,,"46,905","46,655","18,652","157,520","9,834","95,804","1,938","23,612","3,449","6,601","2,927","16,051","1,756",401,235,119,"3,594","23,171","2,803","36,985",724,747,"2,926","37,732","1,288","2,643",622,180,111,28,"1,543","2,851",,,"7,253","18,601","3,817","82,983",,,"14,464","239,492","184,200","965,479","164,514","20,071","50,104","18,939","31,182",,"146,495","42,803",556,12,"5,113",98,"4,557",86,,,,,,,"1,111",44,"105,163","11,325","1,180",582,,,,,"142,478","68,905",957,429,,,,,,
"7,000  to  7,999","203,858","41,237","1,572,980","-44,977","1,528,003","1,264,415","483,081","1,702","151,434","1,181,611","27,397","29,330","14,544","36,538","15,463","96,930","40,204","300,812","5,018","-36,997","7,252","29,916","5,764","-12,659","4,490","24,913","2,304","-30,445","1,342","10,333","1,753","69,572",610,"3,170",,,,,111,"-1,053","25,944","134,497","3,580","76,553","203,858","1,620,771",557,"1,113","4,446","3,495","2,668","7,981",,,"39,871","21,175","2,117","6,213",222,113,122,13,111,"6,669",,,"46,109","47,790","17,011","124,990","8,985","80,012","3,203","69,662","4,631","8,180","3,618","23,481","1,880",967,,,"4,853","32,628","2,949","49,450",449,478,"3,395","49,927","2,369","2,683","1,446",527,111,99,"2,592","3,309",,,"8,730","29,347","4,853","149,767",,,"15,269","279,442","188,589","984,973","178,382","21,763","50,644","19,144","33,654",54,"159,170","45,009",556,9,"5,669",157,"5,113",148,,,,,,,"2,445",145,"120,833","11,782","1,470","1,921",,,,,"153,745","69,528",913,820,,,,,,
"8,000  to  8,999","196,109","39,501","1,702,661","-34,910","1,667,751","1,170,284","621,771","2,692","147,973","1,301,859","21,529","14,001","14,619","25,793","14,407","81,261","40,270","307,682","3,237","-55,802","8,961","87,660","4,730","-9,692","3,313","20,934","1,923","-16,613","1,724","25,116","1,281","86,607",222,"1,083",,,a,6,a,"-1,197","25,559","135,567","3,613","81,769","196,109","1,750,398",556,"1,916","3,889","3,637","2,668","7,211",,,"39,727","21,902","3,138","9,894",222,756,333,10,,,,,"45,174","47,277","17,711","113,813","9,427","78,903","2,013","36,929","3,426","3,866","2,759","15,502","1,704","1,480",222,40,"3,649","20,888","2,536","35,360",235,42,"2,536","35,402","1,368","3,203",557,286,,,"1,590","3,489",,,"7,883","10,163","3,649","97,093",,,"12,009","196,323","184,099","973,961","170,459","20,796","57,371","21,686","29,790",27,"154,201","46,114",222,5,"3,890",158,"3,668",153,,,255,379,,,"1,345",129,"113,192","12,181",977,658,111,40,,,"145,583","70,246",557,90,,,,,,
"9,000  to  9,999","203,842","39,348","1,981,399","-43,525","1,937,875","1,239,068","796,792","2,577","155,190","1,432,109","26,017","22,783","13,270","29,141","15,687","114,810","44,828","372,963","3,360","-27,566","7,628","19,341","5,377","-12,188","3,959","25,048","2,157","-28,232",894,"13,756","1,371","15,764",223,"1,028",a,121,,,123,"-3,163","29,403","156,905","2,663","66,575","203,731","2,034,832",344,"1,362","4,391","4,553","2,557","5,853",,,"43,828","27,085","3,135","9,531",111,133,557,691,334,"3,684",,,"49,687","54,573","19,822","110,211","8,499","66,686","2,838","44,547","4,065","3,630","3,064","13,464","2,279","1,350",333,103,"4,178","18,547","2,952","32,567",225,34,"2,953","32,601","1,947","4,025","1,168","1,270",222,752,"2,169","6,047",,,"8,021","11,974","4,178","104,958",,,"12,098","201,420","191,744","1,037,648","181,877","22,189","70,081","26,491","31,082",27,"162,156","52,469",445,24,"4,779",238,"4,335",214,,,445,21,,,"2,334",187,"121,551","12,006","1,337","2,634",,,,,"151,810","68,439",902,778,,,,,,
"10,000  to  10,999","228,171","34,678","2,405,937","-9,502","2,396,334","1,444,701","1,050,746","2,745","167,127","1,692,930","26,465","22,552","12,930","26,856","17,073","121,010","64,477","599,983","4,358","-31,740","8,062","25,728","4,773","-11,246","4,927","32,642","1,958","-22,188","1,522","14,449",978,"45,174",445,"2,376",,,223,"1,460",344,"-4,291","29,868","141,899","2,177","83,066","228,171","2,484,182",778,"3,234","5,167","3,642","2,779","7,553",,,"63,753","42,526","5,167","15,534",222,594,222,145,223,"2,384",,,"70,201","77,616","20,465","103,395","7,627","93,894","3,649","49,212","4,072","9,292","3,762","20,690","1,748",763,557,154,"4,764","30,899","3,649","51,734",23,381,"3,649","52,115","2,167","4,692","1,277",800,111,227,"2,390","5,718",,,"7,948","12,112","4,764","133,561",111,-265,"14,237","228,184","213,934","1,216,517","215,096","26,242","96,930","36,640","34,112",61,"192,379","67,041",333,3,"4,780",256,"4,447",252,,,111,9,,,"2,556",290,"134,837","16,949",834,676,,,,,"175,742","82,705",500,224,,,,,,
"11,000  to  11,999","235,832","37,903","2,786,211","-77,316","2,709,909","1,478,761","1,317,357","2,986","175,405","1,948,744","27,859","21,148","13,907","34,942","18,064","145,254","56,375","575,742","4,892","-29,995","8,336","23,816","6,285","-14,082","5,462","46,855","2,013","-19,332","2,017","27,443","2,126","44,553",447,"1,133",a,210,,,,,"32,712","184,850","2,544","43,529","235,499","2,858,741",556,"3,521","5,669","4,468","2,890","7,287",,,"55,375","42,191","2,279","5,412",,,222,,333,"6,511",,,"64,045","76,169","23,773","128,406","9,617","51,090","2,903","28,120","4,694","8,647","4,027","22,124","2,568",868,222,131,"5,028","31,770","3,583","53,677",447,586,"3,584","54,263","2,669","7,039","1,557","1,133",111,14,"3,002","8,186",,,"7,851","10,523","5,028","118,028",,,"15,411","232,800","220,422","1,245,961","224,780","27,423","91,929","34,749","35,010",81,"199,929","66,434",556,42,"4,668",290,"4,112",248,,,334,77,,,"2,669",214,"142,728","18,422","1,558","2,128",,,,,"180,753","80,392","1,001","1,286",,,,,,
"12,000  to  12,999","227,274","38,513","2,881,980","-42,819","2,839,161","1,467,210","1,485,907","2,979","174,246","2,158,990","30,217","30,546","17,720","38,013","19,464","162,768","44,089","465,203","6,792","-47,152","10,114","31,995","5,119","-10,800","5,072","35,663","1,846","-13,019","3,160","50,673","1,292","66,857",222,"2,297",,,,,222,"-4,470","35,054","205,020","3,829","88,421","227,274","2,950,784",889,"2,327","5,501","4,916","2,334","6,864",,,"43,766","33,786","3,004","9,666",,,112,2,222,"2,427",,,"51,601","66,931","25,582","140,182","10,065","97,363","2,947","64,610","5,726","6,993","4,647","26,181","1,703",538,334,73,"5,760","33,784","3,758","54,981",113,3,"3,759","54,984","2,645","6,047","1,812","1,497",111,21,"2,757","7,566",,,"8,040","14,657","5,760","160,247",,,"16,309","284,080","210,965","1,183,131","215,908","26,341","90,233","34,108","38,673",81,"190,984","65,166",445,27,"5,780",348,"5,224",313,,,445,85,,,"2,223",168,"141,701","19,517","2,235","2,995",112,158,,,"172,949","70,563","1,000",178,,,,,,
"13,000  to 13,999","222,974","27,009","3,067,098","-56,678","3,010,419","1,450,908","1,644,328","2,985","169,281","2,274,031","29,833","35,084","13,693","36,270","19,650","196,952","44,571","497,933","5,123","-50,165","8,136","27,149","5,522","-11,690","5,748","50,946","1,790","-29,337","2,125","21,607","1,638","43,795",111,247,,,,,334,"-1,408","34,618","199,501","3,454","69,265","222,863","3,134,061",723,"2,768","5,557","4,025","3,445","9,822",,,"44,292","36,890","3,335","14,139",,,111,2,,,,,"53,127","69,897","27,356","134,606","11,581","77,928","2,566","41,938","4,057","7,785","3,567","21,889","1,843","1,008",388,99,"4,567","30,780","3,290","44,647",568,"3,102","3,401","47,748","1,612","1,880","1,166",473,111,592,"2,279","2,945",,,"7,779","15,983","4,790","118,483",,,"16,202","261,917","206,772","1,188,991","225,934","27,564","105,645","39,934","39,775",14,"197,964","72,349",111,45,"3,223",232,"3,112",187,,,,,,,"2,112",231,"146,048","24,108","1,613","2,227",,,,,"174,391","79,734",723,"1,384",,,,,,
"14,000  to  14,999","229,637","29,121","3,389,040","-59,980","3,329,060","1,487,659","1,903,802","3,609","172,735","2,419,988","26,832","19,045","14,911","49,685","20,514","191,855","55,919","673,381","5,570","-42,244","7,786","27,023","6,086","-14,337","4,690","42,473","2,005","-17,710","1,963","21,515","1,561","23,487",510,"2,095",56,59,333,"2,475",112,"-1,156","38,868","211,801","3,845","84,509","229,637","3,479,327","1,224","5,636","6,612","6,940","1,446","4,698",,,"55,365","48,229","2,948","10,267",111,66,122,17,277,"7,196",,,"63,544","84,198","30,585","152,456","9,294","92,476","4,135","59,909","5,118","5,734","4,239","22,125","3,337","1,532",556,77,"5,352","29,467","2,852","29,292",280,455,"2,853","29,746","2,944","6,430","2,276","1,665",278,"2,285","3,389","10,380",,,"7,697","16,529","5,364","128,743",,,"14,665","229,764","214,749","1,257,894","231,820","28,282","129,828","49,075","34,951",27,"203,292","81,619",556,32,"3,669",213,"3,002",180,,,222,62,,,"2,779",157,"150,891","23,775","2,113","3,489",,,,,"187,015","80,993","1,222","2,626",,,,,,
"15,000  to  15,999","231,760","69,523","3,660,808","-69,591","3,591,217","1,557,902","2,123,194","3,964","174,684","2,613,267","31,272","30,294","15,631","47,605","24,698","247,628","49,130","614,833","5,445","-48,254","9,580","38,013","5,840","-12,218","5,013","35,440","1,802","-15,658","3,257","36,803","2,127","24,229",445,"5,702",166,"5,923",,,,,"43,414","249,562","2,631","67,904","231,649","3,744,961","1,000","3,527","7,445","6,257","2,335","7,281",,,"47,965","43,867","3,836","16,763",334,698,333,127,445,"4,831",,,"58,966","86,793","35,532","135,070","10,077","65,479","3,613","68,733","5,849","11,483","4,849","25,361","3,623","1,071",a,1,"6,295","37,915","3,960","50,562",680,407,"4,293","50,968","2,779","7,222","1,556",832,111,222,"3,334","8,277",,,"7,981","21,389","6,295","167,766",,,"17,809","308,500","213,951","1,249,402","239,465","29,215","125,149","47,306","44,888",54,"209,415","81,996",556,37,"42,237",582,"41,793",544,,,222,64,,,"3,446",176,"157,009","27,257","1,835","3,196",,,,,"191,077","82,039","1,277",832,,,,,,
